adult,budget,genres,original_language,popularity,revenue,runtime,vote_average,vote_count,release_strategy,director_popularity,lead_actor_popularity,avg_top5_cast_popularity,imdb_rating,imdb_votes,period,roi,collection_flag,production_companies_count_cat,origin_country_count_cat,production_countries_count_cat,spoken_languages_count_cat
0,15000000,"['Drama', 'Action', 'History']",zh,2.3281,11991669,105,6.379,535,theatrical,,,,,,Before COVID,-0.2005554,0,2,1,2,1
0,0,"['Drama', 'Thriller', 'War']",en,5.3474,316472,104,5.965,583,theatrical,,,,,,Before COVID,,0,2,1,1,1
0,110000000,"['Action', 'Drama', 'Thriller']",en,6.945,473990832,114,6.244,8827,theatrical,,,,,,Before COVID,3.3090075636363636,0,2,1,2,1
0,0,['Drama'],en,1.4873,4289074,119,5.6,1221,theatrical,,,,,,Before COVID,,0,2,1,2,2
0,4000000,"['Comedy', 'Drama', 'Romance']",en,4.9705,15700000,119,7.036,6626,unknown,,,,,,Before COVID,2.925,0,2,2,2,2
0,29000000,"['Comedy', 'Music']",en,4.7252,287144079,115,6.8,5421,theatrical,,,,,,Before COVID,8.901519965517242,1,2,1,1,1
0,2500000,"['Horror', 'Comedy', 'Science Fiction']",en,0.5102,71085,87,5.32,206,theatrical,,,,,,Before COVID,-0.971566,0,2,1,2,1
0,0,['Drama'],Other,3.1032,28245,125,7.0,55,theatrical,,,,,,Before COVID,,1,2,2,2,2
0,4000000,['Drama'],en,0.5142,143101,97,5.4,217,unknown,,,,,,Before COVID,-0.96422475,0,2,1,1,1
0,25130430,"['Action', 'Drama']",Other,4.9775,90747520,159,7.5,881,theatrical,,,,,,Before COVID,2.61106117165524,1,1,1,1,2
0,0,"['Action', 'Crime', 'Drama']",en,2.852,517197,99,5.8,338,streaming,1.38,4.2646,3.42758,5.8,9571.0,Before COVID,,0,2,1,2,2
0,50100000,"['Romance', 'Comedy', 'Crime']",en,3.9986,153962963,105,6.871,8103,theatrical,,,,,,Before COVID,2.0731130339321355,0,2,1,2,1
0,10000000,"['Music', 'Comedy', 'Drama']",en,1.6052,10835752,107,6.8,556,theatrical,,,,,,Before COVID,0.0835752,0,2,1,1,2
0,38000000,"['Action', 'Comedy', 'Family']",en,5.408,107597242,94,5.2,1636,theatrical,,,,,,Before COVID,1.8315063684210526,1,2,1,1,1
0,20000000,"['Comedy', 'Drama', 'War']",en,5.4711,6500000,106,7.2,548,theatrical,,,,,,Before COVID,-0.675,0,2,2,2,1
0,105000000,"['Action', 'Adventure', 'Crime', 'Thriller']",en,3.7441,133782481,114,5.954,2383,theatrical,,,,,,Before COVID,0.2741188666666667,0,2,1,2,1
